//Mod10 Stormcrow
// S TileA N TileB
BABBAABA 0066 000 000
BABBAABB 0066 000 000
BABBABAA 0066 000 000
BABBABAB 0066 000 000
BABBABBA 0066 000 000
BABBABBB 0066 000 000
BABBBAAB 0066 000 000
BABBBABA 0066 000 000
BABBBABB 0066 000 000
BABBBBAA 0066 000 000
BABBBBAB 0066 000 000
BABBBBBA 0066 000 000
BABBBBBB 0066 000 000
BBAAABAA 0066 000 000
BBAAABAB 0066 000 000
BBAAABBA 0066 000 000
BBAAABBB 0066 000 000
BBAABAAB 0066 000 000
BBAABABA 0066 000 000
BBAABABB 0066 000 000
BBAABBAA 0066 000 000
BBAABBAB 0066 000 000
BBAABBBA 0066 000 000
BBAABBBB 0066 000 000
BBABAAAB 0066 000 000
BBABAABA 0066 000 000
BBABAABB 0066 000 000
BBABABAA 0066 000 000
BBABABAB 0066 000 000
BBABABBA 0066 000 000
BBABABBB 0066 000 000
BBABBAAB 0066 000 000
BBABBABA 0066 000 000
BBABBABB 0066 000 000
BBABBBAA 0066 000 000
BBABBBAB 0066 000 000
BBABBBBA 0066 000 000
BBABBBBB 0066 000 000
BBBAABAA 0066 000 000
BBBAABAB 0066 000 000
BBBAABBA 0066 000 000
BBBAABBB 0066 000 000
BBBABAAB 0066 000 000
BBBABABA 0066 000 000
BBBABABB 0066 000 000
BBBABBAA 0066 000 000
BBBABBAB 0066 000 000
BBBABBBA 0066 000 000
BBBABBBB 0066 000 000
BBBBAAAB 0066 000 000
BBBBAABA 0066 000 000
BBBBAABB 0066 000 000
BBBBABAA 0066 000 000
BBBBABAB 0066 000 000
BBBBABBA 0066 000 000
BBBBABBB 0066 000 000
BBBBBAAB 0066 000 000
BBBBBABA 0066 000 000
BBBBBABB 0066 000 000
BBBBBBAA 0066 000 000
BBBBBBAB 0066 000 000
BBBBBBBA 0066 000 000
BBBBBBBB 0066 000 000
// Stormcrow Invalid
BAAABAAA 0066 000 000
AABAAABA 0066 000 000
