//Mod10 Stormcrow
// S TileA N TileB
ABBBABAB 9913 000 000
ABBBABBA 9913 000 000
ABBBABBB 9913 000 000
ABBBBAAB 9913 000 000
ABBBBABA 9913 000 000
ABBBBABB 9913 000 000
ABBBBBAA 9913 000 000
ABBBBBAB 9913 000 000
ABBBBBBA 9913 000 000
ABBBBBBB 9913 000 000
BAABAAAB 9913 000 000
BAABAABA 9913 000 000
BAABAABB 9913 000 000
BAABABAA 9913 000 000
BAABABAB 9913 000 000
BAABABBA 9913 000 000
BAABABBB 9913 000 000
BAABBAAB 9913 000 000
BAABBABA 9913 000 000
BAABBABB 9913 000 000
BAABBBAA 9913 000 000
BAABBBAB 9913 000 000
BAABBBBA 9913 000 000
BAABBBBB 9913 000 000
BABAABAA 9913 000 000
BABAABAB 9913 000 000
BABAABBA 9913 000 000
BABAABBB 9913 000 000
BABABAAB 9913 000 000
BABABABA 9913 000 000
BABABABB 9913 000 000
BABABBAA 9913 000 000
BABABBAB 9913 000 000
BABABBBA 9913 000 000
BABABBBB 9913 000 000
BABBAAAB 9913 000 000
BABBAABA 9913 000 000
BABBAABB 9913 000 000
BABBABAA 9913 000 000
BABBABAB 9913 000 000
BABBABBA 9913 000 000
BABBABBB 9913 000 000
BABBBAAB 9913 000 000
BABBBABA 9913 000 000
BABBBABB 9913 000 000
BABBBBAA 9913 000 000
BABBBBAB 9913 000 000
BABBBBBA 9913 000 000
BABBBBBB 9913 000 000
BBAAABAA 9913 000 000
BBAAABAB 9913 000 000
BBAAABBA 9913 000 000
BBAAABBB 9913 000 000
BBAABAAB 9913 000 000
BBAABABA 9913 000 000
BBAABABB 9913 000 000
BBAABBAA 9913 000 000
BBAABBAB 9913 000 000
BBAABBBA 9913 000 000
BBAABBBB 9913 000 000
BBABAAAB 9913 000 000
BBABAABA 9913 000 000
BBABAABB 9913 000 000
BBABABAA 9913 000 000
BBABABAB 9913 000 000
BBABABBA 9913 000 000
BBABABBB 9913 000 000
BBABBAAB 9913 000 000
BBABBABA 9913 000 000
BBABBABB 9913 000 000
BBABBBAA 9913 000 000
BBABBBAB 9913 000 000
BBABBBBA 9913 000 000
BBABBBBB 9913 000 000
BBBAABAA 9913 000 000
BBBAABAB 9913 000 000
BBBAABBA 9913 000 000
BBBAABBB 9913 000 000
BBBABAAB 9913 000 000
BBBABABA 9913 000 000
BBBABABB 9913 000 000
BBBABBAA 9913 000 000
BBBABBAB 9913 000 000
BBBABBBA 9913 000 000
BBBABBBB 9913 000 000
BBBBAAAB 9913 000 000
BBBBAABA 9913 000 000
BBBBAABB 9913 000 000
BBBBABAA 9913 000 000
BBBBABAB 9913 000 000
BBBBABBA 9913 000 000
BBBBABBB 9913 000 000
BBBBBAAB 9913 000 000
BBBBBABA 9913 000 000
BBBBBABB 9913 000 000
BBBBBBAA 9913 000 000
BBBBBBAB 9913 000 000
BBBBBBBA 9913 000 000
BBBBBBBB 9913 000 000
// Stormcrow Invalid
//BAAABAAA 0001 000 000
//AABAAABA 0001 000 000
