//Mod10 Stormcrow
// S TileA N TileB
BAABBAAB 0009 000 000
BAABBABA 0009 000 000
BAABBABB 0009 000 000
BAABBBAA 0009 000 000
BAABBBAB 0009 000 000
BAABBBBA 0009 000 000
BAABBBBB 0009 000 000
BABAABAA 0009 000 000
BABAABAB 0009 000 000
BABAABBA 0009 000 000
BABAABBB 0009 000 000
BABABAAB 0009 000 000
BABABABA 0009 000 000
BABABABB 0009 000 000
BABABBAA 0009 000 000
BABABBAB 0009 000 000
BABABBBA 0009 000 000
BABABBBB 0009 000 000
BABBAAAB 0009 000 000
BABBAABA 0009 000 000
BABBAABB 0009 000 000
BABBABAA 0009 000 000
BABBABAB 0009 000 000
BABBABBA 0009 000 000
BABBABBB 0009 000 000
BABBBAAB 0009 000 000
BABBBABA 0009 000 000
BABBBABB 0009 000 000
BABBBBAA 0009 000 000
BABBBBAB 0009 000 000
BABBBBBA 0009 000 000
BABBBBBB 0009 000 000
BBAAABAA 0009 000 000
BBAAABAB 0009 000 000
BBAAABBA 0009 000 000
BBAAABBB 0009 000 000
BBAABAAB 0009 000 000
BBAABABA 0009 000 000
BBAABABB 0009 000 000
BBAABBAA 0009 000 000
BBAABBAB 0009 000 000
BBAABBBA 0009 000 000
BBAABBBB 0009 000 000
BBABAAAB 0009 000 000
BBABAABA 0009 000 000
BBABAABB 0009 000 000
BBABABAA 0009 000 000
BBABABAB 0009 000 000
BBABABBA 0009 000 000
BBABABBB 0009 000 000
BBABBAAB 0009 000 000
BBABBABA 0009 000 000
BBABBABB 0009 000 000
BBABBBAA 0009 000 000
BBABBBAB 0009 000 000
BBABBBBA 0009 000 000
BBABBBBB 0009 000 000
BBBAABAA 0009 000 000
BBBAABAB 0009 000 000
BBBAABBA 0009 000 000
BBBAABBB 0009 000 000
BBBABAAB 0009 000 000
BBBABABA 0009 000 000
BBBABABB 0009 000 000
BBBABBAA 0009 000 000
BBBABBAB 0009 000 000
BBBABBBA 0009 000 000
BBBABBBB 0009 000 000
BBBBAAAB 0009 000 000
BBBBAABA 0009 000 000
BBBBAABB 0009 000 000
BBBBABAA 0009 000 000
BBBBABAB 0009 000 000
BBBBABBA 0009 000 000
BBBBABBB 0009 000 000
BBBBBAAB 0009 000 000
BBBBBABA 0009 000 000
BBBBBABB 0009 000 000
BBBBBBAA 0009 000 000
BBBBBBAB 0009 000 000
BBBBBBBA 0009 000 000
BBBBBBBB 0009 000 000
// Stormcrow Invalid
//BAAABAAA 0001 000 000
//AABAAABA 0001 000 000
