//Mod11 Stormcrow
// S TileA N TileB
AABABAAB 03e9 000 000
AABABABB 03e9 000 000
AABABBAB 03e9 000 000
AABABBBB 03e9 000 000
AABBAAAB 03e9 000 000
AABBAABB 03e9 000 000
AABBABAB 03e9 000 000
AABBABBB 03e9 000 000
AABBBAAB 03e9 000 000
AABBBABB 03e9 000 000
AABBBBAB 03e9 000 000
AABBBBBB 03e9 000 000
ABAAABAA 03e9 000 000
ABAAABAB 03e9 000 000
ABAAABBA 03e9 000 000
ABAAABBB 03e9 000 000
ABAABAAB 03e9 000 000
ABAABABA 03e9 000 000
ABAABABB 03e9 000 000
ABAABBAA 03e9 000 000
ABAABBAB 03e9 000 000
ABAABBBA 03e9 000 000
ABAABBBB 03e9 000 000
ABABAAAB 03e9 000 000
ABABAABA 03e9 000 000
ABABAABB 03e9 000 000
ABABABAA 03e9 000 000
ABABABAB 03e9 000 000
ABABABBA 03e9 000 000
ABABABBB 03e9 000 000
ABABBAAB 03e9 000 000
ABABBABA 03e9 000 000
ABABBABB 03e9 000 000
ABABBBAA 03e9 000 000
ABABBBAB 03e9 000 000
ABABBBBA 03e9 000 000
ABABBBBB 03e9 000 000
ABBAABAA 03e9 000 000
ABBAABAB 03e9 000 000
ABBAABBA 03e9 000 000
ABBAABBB 03e9 000 000
ABBABAAB 03e9 000 000
ABBABABA 03e9 000 000
ABBABABB 03e9 000 000
ABBABBAA 03e9 000 000
ABBABBAB 03e9 000 000
ABBABBBA 03e9 000 000
ABBABBBB 03e9 000 000
ABBBAAAB 03e9 000 000
ABBBAABA 03e9 000 000
ABBBAABB 03e9 000 000
ABBBABAA 03e9 000 000
ABBBABAB 03e9 000 000
ABBBABBA 03e9 000 000
ABBBABBB 03e9 000 000
ABBBBAAB 03e9 000 000
ABBBBABA 03e9 000 000
ABBBBABB 03e9 000 000
ABBBBBAA 03e9 000 000
ABBBBBAB 03e9 000 000
ABBBBBBA 03e9 000 000
ABBBBBBB 03e9 000 000
BAABAAAB 03e9 000 000
BAABAABA 03e9 000 000
BAABAABB 03e9 000 000
BAABABAA 03e9 000 000
BAABABAB 03e9 000 000
BAABABBA 03e9 000 000
BAABABBB 03e9 000 000
BAABBAAB 03e9 000 000
BAABBABA 03e9 000 000
BAABBABB 03e9 000 000
BAABBBAA 03e9 000 000
BAABBBAB 03e9 000 000
BAABBBBA 03e9 000 000
BAABBBBB 03e9 000 000
BABAABAA 03e9 000 000
BABAABAB 03e9 000 000
BABAABBA 03e9 000 000
BABAABBB 03e9 000 000
BABABAAB 03e9 000 000
BABABABA 03e9 000 000
BABABABB 03e9 000 000
BABABBAA 03e9 000 000
BABABBAB 03e9 000 000
BABABBBA 03e9 000 000
BABABBBB 03e9 000 000
BABBAAAB 03e9 000 000
BABBAABA 03e9 000 000
BABBAABB 03e9 000 000
BABBABAA 03e9 000 000
BABBABAB 03e9 000 000
BABBABBA 03e9 000 000
BABBABBB 03e9 000 000
BABBBAAB 03e9 000 000
BABBBABA 03e9 000 000
BABBBABB 03e9 000 000
BABBBBAA 03e9 000 000
BABBBBAB 03e9 000 000
BABBBBBA 03e9 000 000
BABBBBBB 03e9 000 000
BBAAABAA 03e9 000 000
BBAAABAB 03e9 000 000
BBAAABBA 03e9 000 000
BBAAABBB 03e9 000 000
BBAABAAB 03e9 000 000
BBAABABA 03e9 000 000
BBAABABB 03e9 000 000
BBAABBAA 03e9 000 000
BBAABBAB 03e9 000 000
BBAABBBA 03e9 000 000
BBAABBBB 03e9 000 000
BBABAAAB 03e9 000 000
BBABAABA 03e9 000 000
BBABAABB 03e9 000 000
BBABABAA 03e9 000 000
BBABABAB 03e9 000 000
BBABABBA 03e9 000 000
BBABABBB 03e9 000 000
BBABBAAB 03e9 000 000
BBABBABA 03e9 000 000
BBABBABB 03e9 000 000
BBABBBAA 03e9 000 000
BBABBBAB 03e9 000 000
BBABBBBA 03e9 000 000
BBABBBBB 03e9 000 000
BBBAABAA 03e9 000 000
BBBAABAB 03e9 000 000
BBBAABBA 03e9 000 000
BBBAABBB 03e9 000 000
BBBABAAB 03e9 000 000
BBBABABA 03e9 000 000
BBBABABB 03e9 000 000
BBBABBAA 03e9 000 000
BBBABBAB 03e9 000 000
BBBABBBA 03e9 000 000
BBBABBBB 03e9 000 000
BBBBAAAB 03e9 000 000
BBBBAABA 03e9 000 000
BBBBAABB 03e9 000 000
BBBBABAA 03e9 000 000
BBBBABAB 03e9 000 000
BBBBABBA 03e9 000 000
BBBBABBB 03e9 000 000
BBBBBAAB 03e9 000 000
BBBBBABA 03e9 000 000
BBBBBABB 03e9 000 000
BBBBBBAA 03e9 000 000
BBBBBBAB 03e9 000 000
BBBBBBBA 03e9 000 000
BBBBBBBB 03e9 000 000
// Stormcrow Invalid
//BAAABAAA 0001 000 000
//AABAAABA 0001 000 000
